imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count,genre_hint,cleaned_story
tt19861162,The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength.",2024,20241h 56m,6.3,16K,,years odysseus finally returns ithaca finds wife held prisoner suitors vying king son facing death hands win back family lost odysseus must rediscover strength
tt27534307,Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",2024,20241h 50m,6.8,143K,,family invited spend whole weekend lonely home countryside weekend progresses realize dark side lies within family invited
tt4996328,Ordinary Angels,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.,2024,20241h 58m,7.4,22K,,inspired incredible true story hairdresser single handedly rallies entire community help widowed father save life critically ill young daughter
tt15239678,Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",2024,20242h 46m,8.4,778K,,paul atreides unites fremen warpath revenge conspirators destroyed family facing choice love life fate universe endeavors prevent terrible future
tt5177120,The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,2024,20242h 2m,6.8,164K,,british military recruits small group highly skilled soldiers strike german forces behind enemy lines world war
tt6263850,Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",2024,20242h 8m,7.5,580K,,deadpool offered place marvel cinematic universe time variance authority instead recruits variant wolverine save universe extinction
tt9218128,Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",2024,20242h 28m,6.4,306K,,home conquered tyrannical emperors lead rome lucius forced enter colosseum must look past find strength return glory rome people
tt18412256,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",2024,20241h 59m,7.1,292K,,scavenging deep ends derelict space station group young space colonists come face face terrifying life form universe
tt28607951,Anora,"A young stripper from Brooklyn impulsively marries the son of Russian oligarchs, but her fairy tale is threatened when his parents set out for New York to get the marriage annulled.",2024,20242h 19m,7.4,300K,,young stripper brooklyn impulsively marries son russian oligarchs fairy tale threatened parents set new york get marriage annulled
tt29623480,The Wild Robot,A sentient robot stranded on an uninhabited island raises an orphaned gosling while trying to fit in with the local wildlife.,2024,20241h 42m,8.2,232K,,sentient robot stranded uninhabited island raises orphaned gosling trying fit local wildlife
