imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count
tt19861162,The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength.",2024,20241h 56m,6.3,16K
tt27534307,Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",2024,20241h 50m,6.8,143K
tt4996328,Ordinary Angels,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.,2024,20241h 58m,7.4,22K
tt15239678,Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",2024,20242h 46m,8.4,778K
tt5177120,The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,2024,20242h 2m,6.8,164K
tt6263850,Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",2024,20242h 8m,7.5,580K
tt9218128,Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",2024,20242h 28m,6.4,306K
tt18412256,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",2024,20241h 59m,7.1,292K
tt28607951,Anora,"A young stripper from Brooklyn impulsively marries the son of Russian oligarchs, but her fairy tale is threatened when his parents set out for New York to get the marriage annulled.",2024,20242h 19m,7.4,300K
tt29623480,The Wild Robot,A sentient robot stranded on an uninhabited island raises an orphaned gosling while trying to fit in with the local wildlife.,2024,20241h 42m,8.2,232K
tt9466114,The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",2024,20241h 55m,6.3,88K
tt17526714,The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",2024,20242h 21m,7.2,453K
tt15314262,The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.,2024,20241h 45m,6.3,183K
tt8790086,Kraven the Hunter,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",2024,20242h 7m,5.5,85K
tt1684562,The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",2024,20242h 6m,6.8,270K
tt1262426,Wicked,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",2024,20242h 40m,7.3,255K
tt28015403,Heretic,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,2024,20241h 51m,7.0,233K
tt5040012,Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",2024,20242h 12m,7.1,272K
tt3359350,Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",2024,20242h 1m,6.2,189K
tt24169886,The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.,2024,20241h 41m,6.2,45K
tt16426418,Challengers,"Tashi, a former tennis prodigy-turned-coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend--Tashi's ex-boyfriend.",2024,20242h 11m,7.0,182K
tt29268110,Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",2024,20242h 7m,6.7,149K
tt12037194,Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home.",2024,20242h 28m,7.4,324K
tt12908150,The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",2024,20241h 51m,7.3,76K
tt17279496,Civil War,"In the midst of a U.S. civil war, four reporters make the dangerous trip to the capital to interview the president before he is overthrown.",2024,20241h 49m,7.0,272K
tt11563598,A Complete Unknown,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.",2024,20242h 21m,7.3,121K
tt14858658,Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",2024,20241h 42m,6.5,132K
tt22075376,Milk & Serial,A surprise birthday prank takes a turn for the worse when a popular social media duo must face the reality of the terrifying aftermath.,2024,20241h 2m,6.6,5.9K
tt23468450,Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",2024,20241h 41m,6.5,230K
